Year,Country,AlQaida,isis,Taliban,lat,lng
1992,Yemen,2,0,0,15.552727,48.516388
1995,Afganistan,0,0,4,33.93911,67.709953
1998,Kenya,1,0,0,-0.023559,37.906193
1998,Tanzania,1,0,0,-6.369028,34.888822
2000,Yemen,2,0,0,15.552727,48.516388
2001,France,1,0,0,46.227638,2.213749
2001,United States,4,0,0,37.09024,-95.712891
2001,Afganistan,0,0,4,33.93911,67.709953
2002,Kenya,2,0,0,-0.023559,37.906193
2002,Pakistan,3,0,0,30.375321,69.345116
2002,Tunisia,1,0,0,33.886917,9.537499
2002,Afganistan,0,0,7,33.93911,67.709953
2003,Afganistan,11,0,50,33.93911,67.709953
2003,Pakistan,1,0,0,30.375321,69.345116
2003,Turkey,2,0,0,38.963745,35.243322
2003,Saudi Arabia,6,0,0,23.885942,45.079162
2003,Iraq,1,0,0,33.223191,43.679291
2004,Iraq,6,0,0,33.223191,43.679291
2004,Pakistan,7,0,1,30.375321,69.345116
2004,Afganistan,0,0,55,33.93911,67.709953
2004,Russia,4,0,0,61.52401,105.318756
2004,Saudi Arabia,6,0,0,23.885942,45.079162
2004,Spain,6,0,0,40.463667,-3.74922
2005,Afganistan,1,0,119,33.93911,67.709953
2005,Iraq,65,0,0,33.223191,43.679291
2005,Jordan,3,0,0,30.585164,36.238414
2005,Pakistan,1,0,2,30.375321,69.345116
2005,Sweden,1,0,0,60.128161,18.643501
2005,United Kingdom,8,0,0,55.378051,-3.435973
2005,Yemen,1,0,0,15.552727,48.516388
2006,Afganistan,1,0,161,33.93911,67.709953
2006,Bangladesh,1,0,0,23.684994,90.356331
2006,Iraq,5,0,0,33.223191,43.679291
2006,Lebanon,1,0,0,33.854721,35.862285
2006,Pakistan,1,0,13,30.375321,69.345116
2006,Saudi Arabia,1,0,0,23.885942,45.079162
2006,Somalia,1,0,0,5.152149,46.199616
2007,Algeria,68,0,0,28.033886,1.659626
2007,Afganistan,0,0,204,33.93911,67.709953
2007,Bangladesh,3,0,0,23.684994,90.356331
2007,Iraq,41,18,0,33.223191,43.679291
2007,Morocco,1,0,0,31.791702,-7.09262
2007,Pakistan,3,0,31,30.375321,69.345116
2007,United Kingdom,1,0,0,55.378051,-3.435973
2007,Yemen,1,0,0,15.552727,48.516388
2008,Afganistan,0,0,249,33.93911,67.709953
2008,Algeria,42,0,0,28.033886,1.659626
2008,Iraq,42,20,0,33.223191,43.679291
2008,Mauritinia,1,0,0,21.00789,-10.940835
2008,Nigeria,2,0,0,9.081999,8.675277
2008,Pakistan,3,0,121,30.375321,69.345116
2008,Tunisia,2,0,0,33.886917,9.537499
2008,Turkey,1,0,0,38.963745,35.243322
2008,Yemen,8,0,0,15.552727,48.516388
2009,Afganistan,0,0,264,33.93911,67.709953
2009,Algeria,23,0,0,28.033886,1.659626
2009,Iraq,22,57,0,33.223191,43.679291
2009,Mali,3,0,0,17.570692,-3.996166
2009,Mauritinia,4,0,0,21.00789,-10.940835
2009,Nigeria,2,0,0,9.081999,8.675277
2009,Pakistan,0,0,160,30.375321,69.345116
2009,Saudi Arabia,1,0,0,23.885942,45.079162
2009,United States,1,0,0,37.09024,-95.712891
2009,Yemen,3,0,0,15.552727,48.516388
2010,Afganistan,0,0,303,33.93911,67.709953
2010,Algeria,13,0,0,28.033886,1.659626
2010,Iraq,37,46,0,33.223191,43.679291
2010,Mali,1,0,0,17.570692,-3.996166
2010,Mauritinia,1,0,0,21.00789,-10.940835
2010,Nigeria,2,0,0,9.081999,8.675277
2010,Pakistan,1,0,165,30.375321,69.345116
2010,United Arab Emirates,1,0,0,23.424076,53.847818
2010,United States,1,0,0,37.09024,-95.712891
2010,Yemen,46,0,0,15.552727,48.516388
2011,Afganistan,0,0,204,33.93911,67.709953
2011,Algeria,7,0,0,28.033886,1.659626
2011,Iraq,29,4,0,33.223191,43.679291
2011,Mali,3,0,0,17.570692,-3.996166
2011,Mauritinia,3,0,0,21.00789,-10.940835
2011,Nigeria,1,0,0,9.081999,8.675277
2011,Pakistan,2,0,131,30.375321,69.345116
2011,Syria,2,0,0,34.802075,38.996815
2011,Tunisia,2,0,0,33.886917,9.537499
2011,Yemen,75,0,0,15.552727,48.516388
2012,Afganistan,0,0,796,33.93911,67.709953
2012,Algeria,8,0,0,28.033886,1.659626
2012,Iraq,304,0,0,33.223191,43.679291
2012,Nigeria,1,0,0,9.081999,8.675277
2012,Pakistan,0,0,179,30.375321,69.345116
2012,Saudi Arabia,1,0,0,23.885942,45.079162
2012,Yemen,198,0,0,15.552727,48.516388
2013,Afganistan,0,0,774,33.93911,67.709953
2013,Algeria,8,0,0,28.033886,1.659626
2013,Iraq,82,341,0,33.223191,43.679291
2013,Libya,1,0,0,26.3351,17.228331
2013,Mali,6,0,0,17.570692,-3.996166
2013,Pakistan,1,0,159,30.375321,69.345116
2013,Syria,0,30,0,34.802075,38.996815
2013,Tunisia,0,1,0,33.886917,9.537499
2013,Turkey,0,2,0,38.963745,35.243322
2013,Yemen,0,142,0,15.552727,48.516388
2014,Afganistan,0,0,1037,33.93911,67.709953
2014,Algeria,3,0,0,28.033886,1.659626
2014,Belgium,0,1,0,50.503887,4.469936
2014,Egypt,0,3,0,26.820553,30.802498
2014,Iraq,0,0,1100,33.223191,43.679291
2014,Isreal,0,1,0,31.046051,34.851612
2014,Lebanon,0,23,0,33.854721,35.862285
2014,Libya,0,2,0,26.3351,17.228331
2014,Mali,11,0,0,17.570692,-3.996166
2014,Saudi Arabia,0,1,0,23.885942,45.079162
2014,Syria,0,114,0,34.802075,38.996815
2014,Turkey,0,4,0,38.963745,35.243322
2014,Pakistan,1,0,166,30.375321,69.345116
2014,Yemen,289,0,0,15.552727,48.516388
2015,Afganistan,0,0,1250,33.93911,67.709953
2015,Algeria,6,0,0,28.033886,1.659626
2015,Bahrain,0,2,0,25.930414,50.637772
2015,Bangladesh,4,0,0,23.684994,90.356331
2015,France,1,9,0,46.227638,2.213749
2015,Iraq,0,0,996,33.223191,43.679291
2015,Jordan,0,1,0,30.585164,36.238414
2015,Lebanon,0,12,0,33.854721,35.862285
2015,Mali,10,0,0,17.570692,-3.996166
2015,Pakistan,1,0,109,30.375321,69.345116
2015,Saudi Arabia,0,7,0,23.885942,45.079162
2015,Syria,0,179,0,34.802075,38.996815
2015,Turkey,0,12,0,38.963745,35.243322
2015,Yemen,130,0,0,15.552727,48.516388
2016,Afganistan,0,0,1062,33.93911,67.709953
2016,Algeria,1,0,0,28.033886,1.659626
2016,Bangladesh,2,0,0,23.684994,90.356331
2016,Belgium,0,2,0,50.503887,4.469936
2016,Georgia,0,1,0,42.315407,43.356892
2016,Germany,0,1,0,51.165691,10.451526
2016,Indonasia,0,1,0,-0.789275,113.921327
2016,Iraq,0,1206,0,33.223191,43.679291
2016,Jordan,0,5,0,30.585164,36.238414
2016,Lebanon,0,7,0,33.854721,35.862285
2016,Malaysia,0,1,0,4.210484,101.975766
2016,Mali,15,0,0,17.570692,-3.996166
2016,Libya,1,0,0,26.3351,17.228331
2016,Pakistan,5,0,98,30.375321,69.345116
2016,Phillippines,0,8,0,12.879721,121.774017
2016,Russia,0,2,0,61.52401,105.318756
2016,Saudi Arabia,0,7,0,23.885942,45.079162
2016,Syria,0,151,0,34.802075,38.996815
2016,Tunisia,0,4,0,33.886917,9.537499
2016,Turkey,0,57,0,38.963745,35.243322
2016,Yemen,82,1,0,15.552727,48.516388
2017,Afganistan,0,0,895,33.93911,67.709953
2017,Australia,0,1,0,-25.274398,133.775136
2017,Iraq,0,1154,0,33.223191,43.679291
2017,Iran,0,2,0,32.427908,53.688046
2017,Lebanon,0,8,0,33.854721,35.862285
2017,Mali,1,0,0,17.570692,-3.996166
2017,Pakistan,3,0,97,30.375321,69.345116
2017,Phillippines,18,0,0,12.879721,121.774017
2017,Russia,2,0,0,61.52401,105.318756
2017,Syria,0,120,0,34.802075,38.996815
2017,Turkey,0,7,0,38.963745,35.243322
2017,United Kingdom,0,2,0,55.378051,-3.435973
2017,Yemen,44,0,0,15.552727,48.516388
